,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,total_industries_aggr_value
32,2004-04,29,1888,54752,651,2408,1567608,1065,3992,4251480,1920,1584,3041280,71,2116,150236,345,2252,776940,2405,3332,8013460,758,2540,1925320,2315,1548,3583620,222,1344,298368,23663064
31,2004-05,31,1888,58528,646,2408,1555568,1079,3992,4307368,1921,1584,3042864,70,2116,148120,329,2252,740908,2453,3332,8173396,760,2540,1930400,2281,1548,3530988,225,1344,302400,23790540
30,2004-06,32,1888,60416,643,2408,1548344,1091,3992,4355272,1917,1584,3036528,71,2116,150236,346,2252,779192,2472,3332,8236704,713,2540,1811020,2327,1548,3602196,224,1344,301056,23880964
29,2004-07,34,2124,72216,631,2432,1534592,1040,4508,4688320,1904,1684,3206336,72,2288,164736,354,1936,685344,2527,3284,8298668,704,2512,1768448,2326,1472,3423872,223,1388,309524,24152056
28,2004-08,33,2124,70092,617,2432,1500544,1045,4508,4710860,1906,1684,3209704,72,2288,164736,357,1936,691152,2534,3284,8321656,709,2512,1781008,2320,1472,3415040,214,1388,297032,24161824
27,2004-09,29,2124,61596,594,2432,1444608,1036,4508,4670288,1858,1684,3128872,70,2288,160160,348,1936,673728,2513,3284,8252692,744,2512,1868928,2251,1472,3313472,218,1388,302584,23876928
26,2004-10,31,1960,60760,618,2644,1633992,1042,4624,4818208,1912,1768,3380416,69,2600,179400,374,2192,819808,2438,3616,8815808,732,2768,2026176,2264,1500,3396000,224,1448,324352,25454920
25,2004-11,30,1960,58800,604,2644,1596976,1049,4624,4850576,1940,1768,3429920,70,2600,182000,367,2192,804464,2412,3616,8721792,731,2768,2023408,2227,1500,3340500,220,1448,318560,25326996
24,2004-12,33,1960,64680,572,2644,1512368,1059,4624,4896816,1940,1768,3429920,65,2600,169000,374,2192,819808,2420,3616,8750720,756,2768,2092608,2198,1500,3297000,219,1448,317112,25350032
23,2005-01,33,1760,58080,525,2312,1213800,1046,4404,4606584,1870,1732,3238840,64,2532,162048,373,2592,966816,2141,2944,6303104,752,2476,1861952,2196,1528,3355488,188,1488,279744,22046456
22,2005-02,34,1760,59840,593,2312,1371016,1058,4404,4659432,1897,1732,3285604,62,2532,156984,380,2592,984960,2153,2944,6338432,766,2476,1896616,2205,1528,3369240,192,1488,285696,22407820
21,2005-03,35,1760,61600,575,2312,1329400,1053,4404,4637412,1965,1732,3403380,64,2532,162048,372,2592,964224,2147,2944,6320768,807,2476,1998132,2266,1528,3462448,188,1488,279744,22619156
20,2005-04,35,1804,63140,576,2408,1387008,1077,4484,4829268,1889,1680,3173520,64,2380,152320,371,2308,856268,2122,3180,6747960,831,2540,2110740,2335,1528,3567880,203,1452,294756,23182860
19,2005-05,37,1804,66748,578,2408,1391824,1093,4484,4901012,1912,1680,3212160,64,2380,152320,376,2308,867808,2109,3180,6706620,823,2540,2090420,2909,1528,4444952,197,1452,286044,24119908
18,2005-06,34,1804,61336,568,2408,1367744,1076,4484,4824784,1909,1680,3207120,65,2380,154700,376,2308,867808,2154,3180,6849720,782,2540,1986280,2979,1528,4551912,195,1452,283140,24154544
17,2005-07,38,1768,67184,534,2728,1456752,1126,4136,4657136,1955,1768,3456440,61,2844,173484,369,2160,797040,2158,3684,7950072,779,2720,2118880,2992,1588,4751296,189,1516,286524,25714808
16,2005-08,38,1768,67184,564,2728,1538592,1152,4136,4764672,1936,1768,3422848,60,2844,170640,364,2160,786240,2188,3684,8060592,768,2720,2088960,2908,1588,4617904,187,1516,283492,25801124
15,2005-09,33,1768,58344,453,2728,1235784,1091,4136,4512376,1234,1768,2181712,49,2844,139356,280,2160,604800,1965,3684,7239060,468,2720,1272960,2189,1588,3476132,90,1516,136440,20856964
14,2005-10,27,1940,52380,604,5900,3563600,1064,4588,4881632,998,2396,2391208,47,5444,255868,247,2740,676780,2230,3252,7251960,411,3296,1354656,1541,2108,3248428,86,1808,155488,23832000
13,2005-11,29,1940,56260,661,5900,3899900,1085,4588,4977980,1033,2396,2475068,46,5444,250424,245,2740,671300,2268,3252,7375536,425,3296,1400800,1659,2108,3497172,94,1808,169952,24774392
12,2005-12,31,1940,60140,688,5900,4059200,1105,4588,5069740,1019,2396,2441524,43,5444,234092,245,2740,671300,2181,3252,7092612,453,3296,1493088,674,2108,1420792,93,1808,168144,22710632
11,2006-01,26,1888,49088,665,3784,2516360,1089,4928,5366592,1233,2164,2668212,45,4832,217440,251,3164,794164,2305,3316,7643380,533,3148,1677884,636,1684,1071024,105,2092,219660,22223804
10,2006-02,29,1888,54752,728,3784,2754752,1101,4928,5425728,1276,2164,2761264,45,4832,217440,255,3164,806820,2333,3316,7736228,525,3148,1652700,656,1684,1104704,93,2092,194556,22708944
9,2006-03,20,1888,37760,751,3784,2841784,1107,4928,5455296,1329,2164,2875956,48,4832,231936,258,3164,816312,2324,3316,7706384,525,3148,1652700,734,1684,1236056,93,2092,194556,23048740
8,2006-04,24,1900,45600,809,3496,2828264,1111,4452,4946172,1418,2012,2853016,43,4420,190060,247,2528,624416,2329,3460,8058340,531,3176,1686456,812,1688,1370656,114,1864,212496,22815476
7,2006-05,25,1900,47500,804,3496,2810784,1106,4452,4923912,1490,2012,2997880,43,4420,190060,256,2528,647168,2335,3460,8079100,535,3176,1699160,845,1688,1426360,119,1864,221816,23043740
6,2006-06,25,1900,47500,831,3496,2905176,1115,4452,4963980,1541,2012,3100492,46,4420,203320,261,2528,659808,2338,3460,8089480,541,3176,1718216,901,1688,1520888,124,1864,231136,23439996
5,2006-07,21,2628,55188,853,3400,2900200,1112,4560,5070720,1810,2004,3627240,45,4112,185040,258,2452,632616,2376,3360,7983360,512,3284,1681408,1000,1560,1560000,163,1748,284924,23980696
4,2006-08,20,2628,52560,802,3400,2726800,1120,4560,5107200,1972,2004,3951888,45,4112,185040,263,2452,644876,2340,3360,7862400,541,3284,1776644,1452,1560,2265120,162,1748,283176,24855704
3,2006-09,20,2628,52560,774,3400,2631600,1119,4560,5102640,1938,2004,3883752,44,4112,180928,261,2452,639972,2378,3360,7990080,562,3284,1845608,1748,1560,2726880,168,1748,293664,25347684
2,2006-10,23,2564,58972,832,3308,2752256,1119,4744,5308536,1958,2040,3994320,45,3724,167580,287,2664,764568,2355,3544,8346120,548,3356,1839088,1829,1656,3028824,165,1984,327360,26587624
1,2006-11,23,2564,58972,821,3308,2715868,1093,4744,5185192,1998,2040,4075920,48,3724,178752,292,2664,777888,2373,3544,8409912,561,3356,1882716,2350,1656,3891600,162,1984,321408,27498228
0,2006-12,23,2564,58972,821,3308,2715868,1107,4744,5251608,1976,2040,4031040,50,3724,186200,296,2664,788544,2425,3544,8594200,550,3356,1845800,2361,1656,3909816,165,1984,327360,27709408
