,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,total_industries_aggr_value
34,2004-02,25,1164,29100,3717,2024,7523208,4344,2668,11589792,15781,2164,34150084,1096,3248,3559808,3287,2272,7468064,6555,2084,13660620,6863,2428,16663364,26190,1544,40437360,2016,1492,3007872,138089272
33,2004-03,25,1164,29100,3857,2024,7806568,4312,2668,11504416,16120,2164,34883680,1081,3248,3511088,3302,2272,7502144,6636,2084,13829424,6913,2428,16784764,26549,1544,40991656,2034,1492,3034728,139877568
32,2004-04,29,1272,36888,3969,2148,8525412,4063,2660,10807580,16217,1908,30942036,1088,3056,3324928,3327,2212,7359324,6827,2112,14418624,6970,2620,18261400,27055,1460,39500300,2058,1544,3177552,136354044
31,2004-05,28,1272,35616,3965,2148,8516820,4257,2660,11323620,16457,1908,31399956,1079,3056,3297424,3362,2212,7436744,6683,2112,14114496,6876,2620,18015120,27201,1460,39713460,2036,1544,3143584,136996840
30,2004-06,26,1272,33072,4026,2148,8647848,4363,2660,11605580,16510,1908,31501080,1106,3056,3379936,3351,2212,7412412,6568,2112,13871616,6924,2620,18140880,27292,1460,39846320,2062,1544,3183728,137622472
29,2004-07,28,1276,35728,4076,2152,8771552,4311,2656,11450016,16410,1928,31638480,1092,3004,3280368,3354,2264,7593456,6513,2088,13599144,6952,2484,17268768,27271,1488,40579248,2079,1620,3367980,137584740
28,2004-08,30,1276,38280,4007,2152,8623064,4306,2656,11436736,16546,1928,31900688,1078,3004,3238312,3380,2264,7652320,6557,2088,13691016,7201,2484,17887284,27093,1488,40314384,2057,1620,3332340,138114424
27,2004-09,30,1276,38280,3930,2152,8457360,4189,2656,11125984,16338,1928,31499664,1071,3004,3217284,3315,2264,7505160,6556,2088,13688928,7193,2484,17867412,26605,1488,39588240,2053,1620,3325860,136314172
26,2004-10,28,1944,54432,3908,2448,9566784,4173,2984,12452232,16357,2140,35003980,1074,3216,3453984,3306,2548,8423688,6724,2428,16325872,7120,3044,21673280,26322,1520,40009440,1995,1708,3407460,150371152
25,2004-11,30,1944,58320,4011,2448,9818928,4237,2984,12643208,16645,2140,35620300,1073,3216,3450768,3281,2548,8359988,6753,2428,16396284,7174,3044,21837656,25974,1520,39480480,1980,1708,3381840,151047772
24,2004-12,31,1944,60264,4076,2448,9978048,4258,2984,12705872,16995,2140,36369300,1213,3216,3901008,3267,2548,8324316,6982,2428,16952296,7237,3044,22029428,25540,1520,38820800,1965,1708,3356220,152497552
23,2005-01,25,1376,34400,4052,2096,8492992,4165,3216,13394640,16364,2312,37833568,1199,3008,3606592,3206,2300,7373800,7297,2152,15703144,7229,2400,17349600,25368,1652,41907936,1942,1488,2889696,148586368
22,2005-02,25,1376,34400,4122,2096,8639712,4112,3216,13224192,16268,2312,37611616,1164,3008,3501312,3220,2300,7406000,7493,2152,16124936,7313,2400,17551200,25371,1652,41912892,1952,1488,2904576,148910836
21,2005-03,27,1376,37152,4167,2096,8734032,4104,3216,13198464,16492,2312,38129504,1152,3008,3465216,3242,2300,7456600,7565,2152,16279880,7314,2400,17553600,25966,1652,42895832,1957,1488,2912016,150662296
20,2005-04,27,1384,37368,4256,2368,10078208,4004,2836,11355344,16586,2088,34631568,1161,2916,3385476,3245,2384,7736080,7500,2168,16260000,7375,2624,19352000,26247,1648,43255056,1995,1596,3184020,149275120
19,2005-05,27,1384,37368,4317,2368,10222656,4130,2836,11712680,16702,2088,34873776,1166,2916,3400056,3276,2384,7809984,7374,2168,15986832,7269,2624,19073856,26054,1648,42936992,1978,1596,3156888,149211088
18,2005-06,30,1384,41520,4425,2368,10478400,4163,2836,11806268,16585,2088,34629480,1210,2916,3528360,3263,2384,7778992,7424,2168,16095232,7371,2624,19341504,26387,1648,43485776,1969,1596,3142524,150328056
17,2005-07,30,1336,40080,4351,2516,10947116,4114,3064,12605296,16428,2152,35353056,1219,3212,3915428,3325,2420,8046500,7332,2220,16277040,7248,2664,19308672,26203,1756,46012468,1956,1668,3262608,155768264
16,2005-08,30,1336,40080,4340,2516,10919440,4012,3064,12292768,16741,2152,36026632,1191,3212,3825492,3283,2420,7944860,7661,2220,17007420,7447,2664,19838808,26310,1756,46200360,1951,1668,3254268,157350128
15,2005-09,23,1336,30728,5032,2516,12660512,3052,3064,9351328,13398,2152,28832496,1089,3212,3497868,2870,2420,6945400,6940,2220,15406800,6491,2664,17292024,21209,1756,37243004,1420,1668,2368560,133628720
14,2005-10,16,2640,42240,5182,3524,18261368,3151,3372,10625172,13010,2596,33773960,1066,4264,4545424,2721,2700,7346700,7652,2600,19895200,6118,3008,18402944,18382,1720,31617040,1370,1940,2657800,147167848
13,2005-11,13,2640,34320,5434,3524,19149416,3250,3372,10959000,13744,2596,35679424,1081,4264,4609384,2726,2700,7360200,8428,2600,21912800,6078,3008,18282624,18930,1720,32559600,1403,1940,2721820,153268588
12,2005-12,14,2640,36960,5760,3524,20298240,3345,3372,11279340,14640,2596,38005440,1105,4264,4711720,2750,2700,7425000,7531,2600,19580600,6074,3008,18270592,12017,1720,20669240,1421,1940,2756740,143033872
11,2006-01,12,1972,23664,5422,2868,15550296,3591,3416,12266856,14593,2772,40451796,1054,4572,4818888,2787,2688,7491456,7019,2528,17744032,5959,2752,16399168,12142,1572,19087224,1525,1768,2696200,136529580
10,2006-02,12,1972,23664,5270,2868,15114360,3667,3416,12526472,14752,2772,40892544,1073,4572,4905756,2872,2688,7719936,7195,2528,18188960,6105,2752,16800960,12775,1572,20082300,1569,1768,2773992,139028944
9,2006-03,13,1972,25636,5255,2868,15071340,3707,3416,12663112,15097,2772,41848884,1083,4572,4951476,2898,2688,7789824,7461,2528,18861408,6211,2752,17092672,13060,1572,20530320,1592,1768,2814656,141649328
8,2006-04,10,2744,27440,5296,3032,16057472,3979,3020,12016580,15328,2372,36358016,1039,3920,4072880,2929,2628,7697412,7253,2488,18045464,6272,2656,16658432,13791,1640,22617240,1599,1836,2935764,136486700
7,2006-05,12,2744,32928,5670,3032,17191440,4268,3020,12889360,15581,2372,36958132,1052,3920,4123840,2953,2628,7760484,7240,2488,18013120,6424,2656,17062144,14133,1640,23178120,1580,1836,2900880,140110448
6,2006-06,12,2744,32928,6078,3032,18428496,4296,3020,12973920,15651,2372,37124172,1063,3920,4166960,2982,2628,7836696,7180,2488,17863840,6409,2656,17022304,15275,1640,25051000,1599,1836,2935764,143436080
5,2006-07,18,1720,30960,6145,3032,18631640,4382,3224,14127568,15797,2356,37217732,1084,3648,3954432,2963,2624,7774912,7512,2332,17517984,6374,2788,17770712,15900,1588,25249200,1612,1832,2953184,145228324
4,2006-08,17,1720,29240,6311,3032,19134952,4429,3224,14279096,15901,2356,37462756,1077,3648,3928896,2977,2624,7811648,8096,2332,18879872,6564,2788,18300432,18752,1588,29778176,1612,1832,2953184,152558252
3,2006-09,17,1720,29240,6164,3032,18689248,4481,3224,14446744,15749,2356,37104644,1077,3648,3928896,2999,2624,7869376,8322,2332,19406904,6599,2788,18398012,20701,1588,32873188,1623,1832,2973336,155719588
2,2006-10,18,2372,42696,5780,3244,18750320,4469,3456,15444864,16010,2428,38872280,1055,3752,3958360,3100,3228,10006800,8034,2536,20374224,6513,2992,19486896,20322,1760,35766720,1650,1940,3201000,165904160
1,2006-11,20,2372,47440,5802,3244,18821688,4558,3456,15752448,16526,2428,40125128,1075,3752,4033400,3114,3228,10051992,8063,2536,20447768,6624,2992,19819008,20309,1760,35743840,1621,1940,3144740,167987452
0,2006-12,20,2372,47440,5920,3244,19204480,4606,3456,15918336,16780,2428,40741840,1076,3752,4037152,3109,3228,10035852,8305,2536,21061480,6634,2992,19848928,20366,1760,35844160,1628,1940,3158320,169897988
